City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Henderson,US,2022-06-12 22:40:04,36.0397,-114.9819,108.84,5,0,29.93
149,Ocos,GT,2022-06-12 22:40:04,14.5094,-92.1933,82.0,72,75,4.59
150,Puerto Carreno,CO,2022-06-12 22:40:05,6.189,-67.4859,78.78,89,40,4.61
151,Ust-Maya,RU,2022-06-12 22:40:05,60.4167,134.5333,55.89,93,100,4.27
152,Evensk,RU,2022-06-12 22:40:06,61.95,159.2333,43.23,86,100,6.04
153,Mogadishu,SO,2022-06-12 22:40:06,2.0371,45.3438,78.55,82,83,19.01
154,Camopi,GF,2022-06-12 22:40:07,3.1655,-52.3158,72.61,99,49,2.13
155,Port Elizabeth,ZA,2022-06-12 22:40:07,-33.918,25.5701,71.1,33,0,8.05
156,Hobart,AU,2022-06-12 22:36:46,-42.8794,147.3294,45.05,83,66,5.64
157,Loukhi,RU,2022-06-12 22:40:08,66.0764,33.0381,53.85,84,100,6.06
158,Neuquen,AR,2022-06-12 22:38:08,-38.9516,-68.0591,48.09,57,0,0.0
159,Bonavista,CA,2022-06-12 22:40:09,48.6499,-53.1147,43.7,94,88,11.03
160,Geraldton,AU,2022-06-12 22:37:45,-28.7667,114.6,61.21,72,100,9.22
161,Te Anau,NZ,2022-06-12 22:40:09,-45.4167,167.7167,36.0,99,98,1.86
162,Senno,RU,2022-06-12 22:40:10,59.5336,33.9167,56.26,97,90,4.16
163,Msowero,TZ,2022-06-12 22:40:10,-6.5333,37.2,64.15,75,65,1.5
164,Baturaja,ID,2022-06-12 22:40:11,-4.1333,104.1667,71.19,98,97,1.81
165,Coracora,PE,2022-06-12 22:40:12,-15.0333,-73.7833,45.9,41,2,3.96
166,La Asuncion,VE,2022-06-12 22:40:12,11.0333,-63.8628,79.11,81,99,18.39
167,Terney,RU,2022-06-12 22:40:13,45.0503,136.6092,56.08,73,0,5.26
168,Maltahohe,NA,2022-06-12 22:40:13,-24.8333,16.9833,55.26,46,0,7.43
169,Chirongui,YT,2022-06-12 22:40:14,-12.9319,45.1483,73.33,67,1,11.86
170,Puerto Ayora,EC,2022-06-12 22:40:15,-0.7393,-90.3518,78.76,92,51,7.0
171,Yulara,AU,2022-06-12 22:40:15,-25.2406,130.9889,50.18,57,0,5.26
172,Ulaangom,MN,2022-06-12 22:40:16,49.9811,92.0667,69.51,46,23,1.81
173,Moerai,PF,2022-06-12 22:40:17,-22.4333,-151.3333,75.87,69,93,14.79
174,Iquitos,PE,2022-06-12 22:40:17,-3.7481,-73.2472,78.84,69,75,4.61
175,Nouadhibou,MR,2022-06-12 22:40:18,20.931,-17.0347,67.98,88,0,20.71
176,Narasannapeta,IN,2022-06-12 22:40:18,18.4167,84.05,82.06,72,86,5.17
177,Clyde River,CA,2022-06-12 22:40:19,70.4692,-68.5914,37.63,65,100,8.05
178,Qaqortoq,GL,2022-06-12 22:40:19,60.7167,-46.0333,38.79,93,99,4.14
179,Ahipara,NZ,2022-06-12 22:40:20,-35.1667,173.1667,57.42,75,78,26.6
180,Mahina,PF,2022-06-12 22:40:20,-17.5065,-149.489,83.97,65,20,6.91
181,Dillon,US,2022-06-12 22:40:22,34.4166,-79.3712,96.78,79,67,3.24
182,Jalu,LY,2022-06-12 22:40:22,29.0331,21.5482,73.98,55,0,12.95
183,Labuhan,ID,2022-06-12 22:40:22,-6.8844,112.2051,77.59,88,97,5.3
184,Bambous Virieux,MU,2022-06-12 22:41:23,-20.3428,57.7575,71.85,88,75,12.66
185,Castro,BR,2022-06-12 22:41:23,-24.7911,-50.0119,40.28,69,0,2.82
186,Fort Saint James,CA,2022-06-12 22:41:24,54.4333,-124.25,63.21,28,80,6.38
187,Chumikan,RU,2022-06-12 22:41:24,54.7183,135.315,40.69,95,99,5.37
188,Khasan,RU,2022-06-12 22:41:25,42.4308,130.6434,55.89,98,100,7.87
189,Khuchni,RU,2022-06-12 22:41:25,41.9499,47.9485,63.82,67,92,4.5
190,Buritama,BR,2022-06-12 22:41:26,-21.0661,-50.1472,57.74,40,100,5.55
191,Tripoli,LY,2022-06-12 22:39:20,32.8752,13.1875,71.62,75,0,4.59
192,Ancud,CL,2022-06-12 22:41:26,-41.8697,-73.8203,50.23,84,100,12.26
193,Copala,MX,2022-06-12 22:41:27,16.65,-98.9833,83.71,68,33,8.28
194,Mahebourg,MU,2022-06-12 22:41:27,-20.4081,57.7,71.89,88,75,12.66
195,Tautira,PF,2022-06-12 22:41:28,-17.7333,-149.15,78.15,68,53,19.08
196,Klaksvik,FO,2022-06-12 22:41:28,62.2266,-6.589,49.12,96,95,14.99
197,Temerloh,MY,2022-06-12 22:41:29,3.4483,102.4176,73.87,97,99,1.52
198,Moree,AU,2022-06-12 22:41:29,-29.4667,149.85,46.49,72,98,5.66
199,Laguna,US,2022-06-12 22:39:16,38.421,-121.4238,85.75,53,0,19.57
200,Helong,CN,2022-06-12 22:38:24,42.5397,128.9972,58.46,99,100,3.65
201,Ulverstone,AU,2022-06-12 22:41:30,-41.15,146.1667,43.38,74,2,5.1
202,Kholodnyy,RU,2022-06-12 22:41:30,62.7167,147.95,53.83,46,1,0.98
203,Husavik,IS,2022-06-12 22:37:35,66.0449,-17.3389,43.18,92,100,4.54
204,Sembe,CG,2022-06-12 22:41:31,1.6481,14.5806,71.82,92,64,2.28
205,Lebu,CL,2022-06-12 22:41:32,-37.6167,-73.65,48.78,90,100,9.08
206,Sakakah,SA,2022-06-12 22:41:32,29.9697,40.2064,90.97,21,0,9.22
207,Saint-Philippe,RE,2022-06-12 22:41:33,-21.3585,55.7679,69.39,88,82,13.62
208,Victoria,HK,2022-06-12 22:40:07,22.2855,114.1577,85.17,87,100,11.99
209,Tura,IN,2022-06-12 22:40:10,25.5198,90.2201,73.45,98,94,7.25
210,Dubbo,AU,2022-06-12 22:41:34,-32.25,148.6167,46.53,93,100,2.3
211,Mountain Home,US,2022-06-12 22:41:34,43.133,-115.6912,60.28,82,100,11.5
212,Pochutla,MX,2022-06-12 22:41:35,15.7432,-96.4661,84.81,67,84,5.21
213,Yar-Sale,RU,2022-06-12 22:41:35,66.8333,70.8333,42.8,81,100,24.87
214,Bath,GB,2022-06-12 22:38:07,51.3779,-2.3591,57.76,85,14,6.98
215,Constitucion,CL,2022-06-12 22:41:36,-35.3333,-72.4167,49.95,90,99,0.85
216,Chapais,CA,2022-06-12 22:41:36,49.7834,-74.8492,56.98,95,98,7.25
217,Tongliao,CN,2022-06-12 22:41:37,43.6125,122.2653,63.84,83,79,16.87
218,Presidencia Roque Saenz Pena,AR,2022-06-12 22:41:37,-26.7852,-60.4388,49.32,59,0,6.22
