City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Airai,TL,-8.9266,125.4092,72.63,52,58,5.3,broken clouds
160,Sao Filipe,CV,14.8961,-24.4956,72.52,86,80,8.61,broken clouds
161,Surt,LY,31.2089,16.5887,73.04,74,0,7.16,clear sky
162,Sao Joao Da Barra,BR,-21.6403,-41.0511,63.59,85,58,5.68,broken clouds
163,Angoche,MZ,-16.2325,39.9086,69.24,88,0,8.14,clear sky
164,Domna,RU,51.8971,113.1573,75.36,33,1,4.47,clear sky
165,Kahului,US,20.8947,-156.47,79.97,89,13,15.01,few clouds
166,Tiksi,RU,71.6872,128.8694,36.88,73,10,10.38,clear sky
167,Rafraf,TN,37.1904,10.1837,66.51,63,18,5.91,few clouds
168,Castro,BR,-24.7911,-50.0119,50.43,90,9,1.95,clear sky
169,Itaituba,BR,-4.2761,-55.9836,70.61,99,6,0.98,clear sky
170,Leningradskiy,RU,69.3833,178.4167,40.86,70,88,9.17,overcast clouds
171,Kailua,US,21.4022,-157.7394,80.02,85,24,5.99,few clouds
172,Arak,IR,34.0917,49.6892,69.94,21,0,3.04,clear sky
173,Moroni,KM,-11.7022,43.2551,76.26,79,3,3.02,clear sky
174,Howard Springs,AU,-12.497,131.047,87.98,54,33,9.33,scattered clouds
175,Saint George,US,37.1041,-113.5841,79.3,12,0,2.91,clear sky
176,Qasigiannguit,GL,68.8193,-51.1922,37.65,79,5,2.33,clear sky
177,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,61.83,71,99,5.35,overcast clouds
178,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,87,27,10.0,scattered clouds
179,Natalio,PY,-26.7167,-55.0833,53.31,99,8,3.36,clear sky
180,Byron Bay,AU,-28.65,153.6167,73.94,48,0,4.72,clear sky
181,Ilulissat,GL,69.2167,-51.1,37.42,60,0,3.44,clear sky
182,Mercedes,AR,-34.6515,-59.4307,51.04,84,32,4.25,scattered clouds
183,Dongsheng,CN,39.8161,109.9776,87.71,14,10,10.8,clear sky
184,Svetlogorsk,BY,52.6333,29.7333,53.82,87,0,5.06,clear sky
185,Provideniya,RU,64.3833,-173.3,37.51,100,100,20.13,light intensity drizzle
186,Babu,CN,24.4167,111.5167,79.2,90,99,2.95,overcast clouds
187,Necochea,AR,-38.5473,-58.7368,47.95,88,100,3.51,overcast clouds
188,Stephenville,US,32.2207,-98.2023,86.0,53,0,10.36,clear sky
189,Port Lincoln,AU,-34.7333,135.8667,62.04,59,4,8.12,clear sky
190,Kerman,IR,30.2832,57.0788,86.13,11,1,1.03,clear sky
191,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,20,10.36,few clouds
192,Dong Hoi,VN,17.4833,106.6,92.03,56,91,3.42,overcast clouds
193,Pacific Grove,US,36.6177,-121.9166,60.48,80,0,11.5,clear sky
194,Det Udom,TH,14.906,105.0784,89.44,58,99,6.62,overcast clouds
195,Vestmanna,FO,62.1564,-7.1664,47.32,100,100,6.91,overcast clouds
196,Khatanga,RU,71.9667,102.5,70.59,30,73,10.4,broken clouds
197,Te Anau,NZ,-45.4167,167.7167,46.11,92,100,3.6,overcast clouds
198,Jiangyou,CN,31.7667,104.7167,87.8,38,100,6.29,light rain
199,Luganville,VU,-15.5333,167.1667,80.24,82,100,11.68,light rain
200,Saldanha,ZA,-33.0117,17.9442,50.45,71,32,8.61,scattered clouds
201,Belmonte,BR,-15.8631,-38.8828,71.04,76,80,8.57,broken clouds
202,Mount Gambier,AU,-37.8333,140.7667,56.97,74,80,7.31,broken clouds
203,Kajaani,FI,64.2273,27.7285,48.25,93,100,11.5,light intensity shower rain
204,Baykit,RU,61.67,96.37,67.93,80,100,4.27,light rain
205,Usinsk,RU,65.9939,57.5281,56.79,57,54,7.63,broken clouds
206,Marawi,PH,7.9986,124.2928,83.34,56,25,6.53,light rain
207,La Orilla,MX,17.9833,-102.2333,80.28,83,100,15.97,overcast clouds
208,Pedernales,DO,18.0384,-71.744,80.87,67,96,5.08,overcast clouds
209,Colesberg,ZA,-30.72,25.0972,30.4,74,0,3.31,clear sky
210,Samarai,PG,-10.6167,150.6667,80.78,83,63,11.86,very heavy rain
211,Port Elizabeth,ZA,-33.918,25.5701,47.1,87,58,1.99,broken clouds
212,Bozuyuk,TR,39.9078,30.0367,59.29,93,35,2.44,scattered clouds
