City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
135,Esperance,AU,65.73,clear sky,-33.8667,121.9,Hospitality Esperance
139,Tocopilla,CL,57.25,few clouds,-22.092,-70.1979,Hotel Galvarino
140,Ahipara,NZ,60.1,clear sky,-35.1667,173.1667,Ahipara Holiday Park
142,Genc,TR,67.96,few clouds,38.7507,40.5603,Genc Ogretmenevi
143,Bar Harbor,US,57.9,clear sky,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
144,Eureka,US,57.25,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
146,Camacha,PT,63.82,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
147,Knyaze-Volkonskoye,RU,77.34,clear sky,48.4642,135.4567,Obshchezhitiye
149,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
150,Kieta,PG,82.31,light rain,-6.2167,155.6333,Uruna Bay Retreat
151,Conde,BR,71.89,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
152,Kirakira,SB,83.07,overcast clouds,-10.4544,161.9205,SanBiz Lodge
154,Santa Cruz Cabralia,BR,70.99,overcast clouds,-16.2781,-39.0247,Puerto Princesa Inn
155,Aswan,EG,81.88,clear sky,24.0934,32.907,Nuba Nile
156,Gryazi,RU,59.09,broken clouds,52.4966,39.9359,Гостиница Ника
157,Umm Lajj,SA,81.72,clear sky,25.0213,37.2685,Moon light Furnished Units
158,Souillac,MU,73.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
160,Sao Filipe,CV,72.52,broken clouds,14.8961,-24.4956,Hotel Xaguate
161,Surt,LY,73.04,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
162,Sao Joao Da Barra,BR,63.59,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
163,Angoche,MZ,69.24,clear sky,-16.2325,39.9086,Guest House HESADA
165,Kahului,US,79.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
167,Rafraf,TN,66.51,few clouds,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
168,Castro,BR,50.43,clear sky,-24.7911,-50.0119,CHACARA BAILLY
169,Itaituba,BR,70.61,clear sky,-4.2761,-55.9836,Hotel Campos
171,Kailua,US,80.02,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
172,Arak,IR,69.94,clear sky,34.0917,49.6892,Zagros Hotel
173,Moroni,KM,76.26,clear sky,-11.7022,43.2551,Hotel Les Arcades
175,Saint George,US,79.3,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
177,Presidencia Roque Saenz Pena,AR,61.83,overcast clouds,-26.7852,-60.4388,Hotel Gualok
178,Praia Da Vitoria,PT,60.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
179,Natalio,PY,53.31,clear sky,-26.7167,-55.0833,Casa familia Sánchez
180,Byron Bay,AU,73.94,clear sky,-28.65,153.6167,Backpackers Inn
182,Mercedes,AR,51.04,scattered clouds,-34.6515,-59.4307,Posada del Inti Centro
184,Svetlogorsk,BY,53.82,clear sky,52.6333,29.7333,Hotel Svetlogorsk JBIK
186,Babu,CN,79.2,overcast clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
189,Port Lincoln,AU,62.04,clear sky,-34.7333,135.8667,Port Lincoln Hotel
191,Bambous Virieux,MU,73.65,few clouds,-20.3428,57.7575,Casa Tia Villa
193,Pacific Grove,US,60.48,clear sky,36.6177,-121.9166,Lovers Point Inn
196,Khatanga,RU,70.59,broken clouds,71.9667,102.5,"""Khatanga"""
199,Luganville,VU,80.24,light rain,-15.5333,167.1667,The Espiritu Hotel
200,Saldanha,ZA,50.45,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
201,Belmonte,BR,71.04,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
202,Mount Gambier,AU,56.97,broken clouds,-37.8333,140.7667,The Commodore
205,Usinsk,RU,56.79,broken clouds,65.9939,57.5281,Dobro Pozhalovaty
206,Marawi,PH,83.34,light rain,7.9986,124.2928,Derogongan Residence
207,La Orilla,MX,80.28,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
208,Pedernales,DO,80.87,overcast clouds,18.0384,-71.744,Hotel Costa Marina
210,Samarai,PG,80.78,very heavy rain,-10.6167,150.6667,Nuli Sapi
212,Bozuyuk,TR,59.29,scattered clouds,39.9078,30.0367,Grand Çalı Otel
213,Elizabeth City,US,74.01,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
214,Tottori,JP,74.03,overcast clouds,35.5,134.2333,Hotel Monarque Tottori
216,Praia,CV,72.93,broken clouds,14.9215,-23.5087,LT Aparthotel
217,Maxixe,MZ,68.32,overcast clouds,-23.8597,35.3472,Oceano
218,Kodiak,US,50.94,few clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
219,Hirado,JP,72.97,scattered clouds,33.3597,129.5531,Samson Hotel
221,Thunder Bay,CA,54.28,mist,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
222,Pafos,CY,69.58,few clouds,34.7667,32.4167,Elysium Hotel
223,Susanville,US,73.24,clear sky,40.4163,-120.653,Comfort Inn & Suites
224,Kununurra,AU,84.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
225,Rocha,UY,50.22,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
226,Hobyo,SO,79.07,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
228,Faanui,PF,80.76,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
231,Ambilobe,MG,69.42,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
232,Havre-Saint-Pierre,CA,53.6,few clouds,50.2334,-63.5986,Auberge Niapiskau
235,Kismayo,SO,78.26,light rain,-0.3582,42.5454,Agan-Hotel
236,Saint Anthony,US,68.83,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
239,Verdun,FR,62.42,broken clouds,49.25,5.3333,Logis Hôtel le Relais
240,Luena,AO,50.05,scattered clouds,-11.7833,19.9167,Hotel Kandamba
241,Broome,US,74.68,few clouds,42.2506,-75.833,Chenango Valley State Park
242,Sinnamary,GF,75.94,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
243,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
244,Inta,RU,56.98,clear sky,66.0317,60.1659,Apartments in Inta city
245,Benguela,AO,65.77,clear sky,-12.5763,13.4055,Hotel Praia Morena
246,Yatou,CN,75.6,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
247,Semporna,MY,84.69,heavy intensity rain,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
248,Kushmurun,KZ,73.83,broken clouds,52.4503,64.6311,Gostinitsa Pri Depo
249,Fortuna,US,56.98,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
252,Ugoofaaru,MV,83.05,heavy intensity rain,5.6667,73.0,Ungoofaaru Inn
253,Saint-Philippe,RE,69.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
254,Lagoa,PT,63.3,few clouds,39.05,-27.9833,Casa Das Faias
255,Ribeira Grande,PT,64.99,few clouds,38.5167,-28.7,Quinta da Meia Eira
256,Stege,DK,53.1,overcast clouds,54.987,12.2846,Møn Golf Resort - Hotel Præstekilde
257,Port Moresby,PG,84.07,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
260,Elk City,US,82.62,clear sky,35.412,-99.4043,Hampton Inn & Suites Elk City
261,Naryan-Mar,RU,54.21,overcast clouds,67.6713,53.087,Hostel Agat
264,Palanga,LT,57.22,few clouds,55.9175,21.0686,"Hotel ""Austėja"""
265,Okato,NZ,58.91,light rain,-39.2,173.8833,Stony River House
266,Luanda,AO,66.24,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
269,Iquique,CL,60.84,broken clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
270,Padang,ID,84.25,broken clouds,-0.9492,100.3543,Mercure Padang
271,Steamboat Springs,US,58.5,clear sky,40.485,-106.8317,Steamboat Grand
272,Medea,DZ,75.47,overcast clouds,36.2642,2.7539,Hôtel M'Sallah
273,New Norfolk,AU,53.1,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
274,Santo Antonio Do Leverger,BR,73.33,scattered clouds,-15.8656,-56.0767,Chácara Do SINETRAN
276,Garowe,SO,77.83,broken clouds,8.4054,48.4845,Curubo Hotel
277,Tazovskiy,RU,59.79,overcast clouds,67.4667,78.7,TazHostel
278,Auchel,FR,57.88,scattered clouds,50.5034,2.4735,Gîte d’étape du Presbytère
282,Hualmay,PE,60.6,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
283,Santa Maria,BR,53.56,broken clouds,-29.6842,-53.8069,Hotel Morotin
284,Suarez,CO,65.3,overcast clouds,2.954,-76.6964,Hotel Estrella Dorada
285,Hellvik,NO,54.77,scattered clouds,59.9156,5.781,Rabben feriesenter AS
286,Kandrian,PG,84.49,light rain,-6.2167,149.55,Kandrian Station
287,Iquitos,PE,69.51,few clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
291,Llangefni,GB,56.66,broken clouds,53.2556,-4.3106,Bull Hotel
292,Vigrestad,NO,52.59,clear sky,58.5667,5.7,Brusand Camping
294,Baiyin,CN,81.75,clear sky,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
295,Vila Franca Do Campo,PT,63.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
297,Margate,GB,57.69,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
299,Moose Factory,CA,71.58,overcast clouds,51.2585,-80.6094,Cree Village Eco Lodge
300,Vilyuysk,RU,69.66,broken clouds,63.7553,121.6247,Gostinitsa Viliuisk
301,Burns Lake,CA,62.02,overcast clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
303,Peace River,CA,59.92,broken clouds,56.2501,-117.286,BCMInns - Peace River
305,Lasa,IT,57.69,few clouds,46.6166,10.7002,Pension Feldgärtenhof
307,Hailun,CN,75.67,broken clouds,47.45,126.9333,Wanhao Hotel
310,Geraldton,AU,72.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
311,Brae,GB,52.57,overcast clouds,60.3964,-1.353,Busta House Hotel
313,Harper,LR,74.88,heavy intensity rain,4.375,-7.7169,Screensaver
314,Isangel,VU,79.14,clear sky,-19.55,169.2667,Tanna Lodge
316,Ikom,NG,72.57,light rain,5.9667,8.7063,Reho Farm & Resort
317,Volchansk,RU,69.3,few clouds,59.9378,60.081,U Mikhalycha
319,Kinkala,CG,66.63,few clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
321,Estevan,CA,53.8,overcast clouds,49.1334,-102.9842,"Motel 6 Estevan, SK"
322,La Ronge,CA,51.42,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
325,Burgeo,CA,52.52,scattered clouds,47.6167,-57.6152,Gillett's Motel
326,Carazinho,BR,52.43,clear sky,-28.2839,-52.7864,San Remo Hotel
327,Dakar,SN,76.08,overcast clouds,14.6937,-17.4441,Novotel Dakar
328,Mega,ET,56.03,overcast clouds,4.05,38.3,Amanuel Guest House
333,Bengkulu,ID,83.44,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
334,Koryukivka,UA,55.11,clear sky,51.7688,32.2481,Hotelʹ
335,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
336,Dovolnoye,RU,62.17,light rain,54.4958,79.6671,Gostinitsa
337,Bajram Curri,AL,58.41,clear sky,42.3554,20.0784,Hotel Boshnjaku
338,Cavalcante,BR,66.02,clear sky,-13.7975,-47.4583,Pousada Vila dos Ipês
339,Cidreira,BR,57.42,clear sky,-30.1811,-50.2056,Hotel Castelo
340,Hun,LY,70.84,clear sky,29.1268,15.9477,Alrwasi Hotel
341,Flinders,AU,66.06,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
342,Moyo,UG,64.98,broken clouds,3.6609,31.7247,Amelia Guest House
343,Tawang,IN,56.19,overcast clouds,27.5833,91.8667,Hotel Mount View
344,Chacabuco,AR,50.63,few clouds,-34.6417,-60.4739,Club de Pesca Caza y Balneario
345,Onega,RU,54.27,broken clouds,63.9061,38.1404,Lunny Kot Guest House
346,Kurumkan,RU,80.13,clear sky,54.3,110.3,Ilikchin
347,Dubbo,AU,60.93,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
348,Assis,BR,56.61,clear sky,-22.6617,-50.4122,Santa Rosa Palace Hotel
349,Kohtla-Jarve,EE,53.53,few clouds,59.3986,27.2731,Virumaa Hostel
351,Sao Jose Da Coroa Grande,BR,74.68,light rain,-8.8978,-35.1478,Crôa Mares Hotel
352,Boa Vista,BR,76.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
353,Kapuskasing,CA,66.54,scattered clouds,49.4169,-82.4331,Park Inn Motel
354,Coquimbo,CL,55.13,overcast clouds,-29.9533,-71.3436,Hotel San Juan
356,Le Port,RE,74.25,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
357,Todos Santos,MX,83.05,few clouds,23.45,-110.2167,Hotel California Todos Santos
358,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
360,Sept-Iles,CA,62.06,scattered clouds,50.2001,-66.3821,Comfort Inn
362,Tevaitoa,PF,80.33,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
363,Moindou,NC,80.19,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
364,Lenger,KZ,83.64,few clouds,42.183,69.8839,Gostevoy Dom 1
365,Badarpur,IN,77.38,moderate rain,24.9,92.6,Rejauls home
367,Tiganesti,RO,63.19,clear sky,43.9,25.3667,Ileana
368,Gaspe,CA,57.85,clear sky,48.8334,-64.4819,Rodeway Inn
370,Havelock,US,78.78,clear sky,34.8791,-76.9013,Sherwood Motel
371,Linxia,CN,78.87,few clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
372,Matay,EG,75.31,clear sky,28.419,30.7792,Nag Aespen
374,Waipawa,NZ,53.85,few clouds,-41.4122,175.5153,Tora Coastal Walk
375,Bardiyah,LY,71.91,clear sky,31.7561,25.0865,بورتو بردية
376,Urengoy,RU,68.61,overcast clouds,65.9667,78.3667,Gostinnitsa Medveditsa
377,Juba,SS,69.3,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
378,Richards Bay,ZA,54.41,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
380,Buala,SB,82.85,light rain,-8.145,159.5921,Maringe Lagoon Lodge
381,Mahajanga,MG,72.05,clear sky,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
382,Shahr-E Babak,IR,82.94,clear sky,30.1165,55.1186,Duna Ecolodge
383,Monroe,US,77.27,scattered clouds,43.1501,-77.6831,Rodeway Inn Rochester Airport
384,Awbari,LY,73.96,clear sky,26.5921,12.7805,فندق أوباري
385,Waw,SS,69.78,overcast clouds,7.7029,27.9953,Universal Gab Hotel
386,Pochutla,MX,73.51,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
387,San Francisco,US,67.28,clear sky,37.7749,-122.4194,Edwardian Hotel
388,Peleduy,RU,81.81,clear sky,59.6289,112.7406,Гостиница «Уют»
389,Kurilsk,RU,51.3,moderate rain,45.2333,147.8833,Hotel Ostrov
390,Kamaishi,JP,71.46,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
392,Mitsamiouli,KM,77.59,clear sky,-11.3847,43.2844,Foyer ADM
393,Sapele,NG,73.31,overcast clouds,5.8941,5.6767,Movig Hotel & Suites
394,Sabang,ID,81.75,overcast clouds,5.8933,95.3214,Hotel Citra
395,Pisco,PE,59.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
398,Codrington,AU,57.65,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
399,Yambio,SS,65.12,broken clouds,4.5721,28.3955,Naivasha Hotel
400,Ginir,ET,56.93,broken clouds,7.1333,40.7,Sura Dare Village
401,Neryungri,RU,62.87,broken clouds,56.6709,124.6491,Pyat' Zvozd
402,Nipawin,CA,52.54,broken clouds,53.3668,-104.0009,Tobin Lake Motel
403,Kainantu,PG,75.27,few clouds,-6.2887,145.8655,Sylvester buku
404,Dali,CN,64.0,light rain,25.7,100.1833,Dali Travelling With Hostel
405,Vista Hermosa,MX,61.99,broken clouds,19.5167,-99.2167,Krystal Satélite María Bárbara
406,Northam,GB,50.61,overcast clouds,51.0333,-4.2167,Durrant House Hotel
407,Kaeo,NZ,65.32,few clouds,-35.1,173.7833,Bushido Lodge
409,Misratah,LY,73.09,clear sky,32.3754,15.0925,Almasa Hotel
410,Antigonish,CA,51.15,clear sky,45.6169,-61.9986,Claymore Inn and Suites
411,Sao Felix Do Xingu,BR,68.59,few clouds,-6.6447,-51.995,Rio Xingu Camping
412,Loanda,AO,66.24,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
413,Linqiong,CN,80.96,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
414,Palmer,US,68.61,overcast clouds,42.1584,-72.3287,Wedgewood Motel
415,Yeniseysk,RU,73.67,overcast clouds,58.4497,92.1703,"""Domino"""
416,Kasulu,TZ,62.78,clear sky,-4.5767,30.1025,Nazaret lodge
417,Gasa,PS,69.87,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
422,Boueni,YT,73.38,clear sky,-12.9025,45.0761,The feet in water
423,Burladingen,DE,58.21,few clouds,48.2833,9.1167,Zimmer auf der Alb
424,Ostend,BE,58.91,clear sky,51.2234,2.9119,Hotel Cardiff & Afternoon Tea Lounge
425,Inhambane,MZ,69.1,overcast clouds,-23.865,35.3833,Oceano
426,Namatanai,PG,83.23,light rain,-3.6667,152.4333,Seagulls Inn Namatani
427,Salinas,US,66.0,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
428,Ayame,CI,72.54,moderate rain,5.6083,-3.1563,Hotel Bossan
429,Koumac,NC,79.99,scattered clouds,-20.5667,164.2833,Le Monitel
430,Hokitika,NZ,53.51,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
431,Somerset,US,68.23,few clouds,40.5668,-74.5496,Hilton Garden Inn Bridgewater
433,Bedele,ET,53.74,overcast clouds,8.456,36.353,Central Hotel
436,Faya,SA,68.11,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
437,Imbituba,BR,59.86,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
438,Salisbury,GB,54.01,broken clouds,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
440,Raudeberg,NO,51.87,light rain,61.9875,5.1352,Nordre Silda.
441,Muros,ES,67.84,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
442,Bandarbeyla,SO,81.1,overcast clouds,9.4942,50.8122,JABIR HOTEL
443,Ketchikan,US,60.08,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
448,Smithers,CA,63.37,overcast clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
449,Kedougou,SN,78.69,overcast clouds,12.5579,-12.1743,Relais de Kédougou
451,Khawhai,IN,66.15,moderate rain,23.3667,93.1167,Homestay Khawhai
452,Newport,GB,56.82,overcast clouds,51.5877,-2.9984,ibis budget Newport
454,San Juan Evangelista,MX,75.36,broken clouds,17.9,-95.1333,Salon INAPAM San Juan Evangelista
455,Kapoeta,SS,74.32,scattered clouds,4.7717,33.5903,Eastgate Hotel
457,Mogadishu,SO,80.47,broken clouds,2.0371,45.3438,Hotel Juba
459,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Pirineos
460,Arrifes,PT,61.23,few clouds,37.7667,-25.7,Hotel Ponta Delgada
462,Mwanza,TZ,69.42,broken clouds,-2.5167,32.9,Gold Crest Hotel
